ground_x [mm],ground_y [mm],ground_t [mm],height [mm],top_w [mm],base_w [mm],neck_w [mm],shoulder_h [mm],feed_gap [mm],blade_t [mm],separation [mm],Freq [GHz],Phi [deg],Theta [deg],im(rEPhi) (Real) [mV],im(rEPhi) (Imag) [mV],im(rETheta) (Real) [mV],im(rETheta) (Imag) [mV],re(rEPhi) (Real) [mV],re(rEPhi) (Imag) [mV],re(rETheta) (Real) [mV],re(rETheta) (Imag) [mV]
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,17.5,13.242559225364658,0.0,-76.5364502586368,0.0,-50.051045698346705,0.0,931.4890694314333,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,20.0,26.288340360543042,0.0,-255.06633833849827,0.0,-48.47648726990671,0.0,898.2397717665461,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,22.5,39.2653419769199,0.0,-434.27383009587606,0.0,-38.75858880720018,0.0,727.8648822781331,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,25.0,50.6126355199452,0.0,-599.3601982684376,0.0,-22.2211493637504,0.0,443.5150741665557,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,27.5,59.37610891738398,0.0,-732.9940724757266,0.0,-1.8670065110147387,0.0,88.993324144931,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,29.999999999999996,65.54598297659274,0.0,-818.1490053975346,0.0,18.423131245591076,0.0,-281.82737235576957,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,32.5,70.01467114515236,0.0,-841.3713925828106,0.0,34.900544168753605,0.0,-616.8285004678871,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,35.0,74.19339950329235,0.0,-795.5522712079588,0.0,44.829527177600546,0.0,-875.4631756450407,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,37.5,79.46252754502352,0.0,-681.4700335671638,0.0,46.99188327602967,0.0,-1034.4711272138557,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,40.0,86.67585057380097,0.0,-507.7594360383082,0.0,41.7299791647383,0.0,-1088.925126108714,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,42.5,95.88891718450638,0.0,-289.40779108816486,0.0,30.604076526384357,0.0,-1049.3741217204172,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,45.0,106.37353958106098,0.0,-45.242884806459564,0.0,15.83983725799528,0.0,-936.6341068982388,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,47.5,116.86977047573885,0.0,204.9379170394498,0.0,-0.23961121968230775,0.0,-775.9425181990124,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,50.0,125.95631681379093,0.0,442.9688831540569,0.0,-15.65085236581043,0.0,-591.8713952649854,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,52.5,132.4075232158816,0.0,654.2025718448665,0.0,-28.98980880547497,0.0,-404.8216695515219,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,55.0,135.43978838788678,0.0,828.49554442956,0.0,-39.481581334812134,0.0,-229.32321290253932,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,57.5,134.8073921787794,0.0,960.3472587393893,0.0,-46.89524525618834,0.0,-73.90162552913615,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,59.99999999999999,130.76121206846153,0.0,1048.4049213832843,0.0,-51.39251093725642,0.0,57.98562713430069,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,62.50000000000001,123.91713479476567,0.0,1094.604234852102,0.0,-53.36840166286329,0.0,166.4991160188723,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,65.0,115.09006369573876,0.0,1103.1902266002949,0.0,-53.319683939478125,0.0,253.92010390781027,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,67.5,105.1398318698998,0.0,1079.79159706584,0.0,-51.754414482074395,0.0,323.4095388931758,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,70.0,94.85669946058508,0.0,1030.6434473869474,0.0,-49.140306295084564,0.0,378.15524326161955,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,72.5,84.89525840512172,0.0,961.9908074779169,0.0,-45.88214674058855,0.0,420.90340183823093,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,75.0,75.75183352105425,0.0,879.6672320983838,0.0,-42.317375221031284,0.0,453.7897091279904,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,77.5,67.77341896171035,0.0,788.8256212400788,0.0,-38.72118695260125,0.0,478.3575469226986,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,80.0,61.184750982271574,0.0,693.7943868601985,0.0,-35.31566077311889,0.0,495.66049719510164,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,82.5,56.12210686211851,0.0,598.0336931688314,0.0,-32.279972230745926,0.0,506.37595274394187,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,85.0,52.66572453466803,0.0,504.16922065400917,0.0,-29.76029329749327,0.0,510.89011392536196,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,87.5,50.86591493188598,0.0,414.0831178755295,0.0,-27.87863240728762,0.0,509.3427134742865,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,90.0,50.760308497009824,0.0,329.0435890379081,0.0,-26.739969019167766,0.0,501.6387471275262,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,92.5,52.38114005902843,0.0,249.85645675826515,0.0,-26.43688459823956,0.0,487.44481034907346,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,95.0,55.75226626542138,0.0,177.02428880293775,0.0,-27.050673791638857,0.0,466.1918065184182,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,97.5,60.876091953644604,0.0,110.90106576155485,0.0,-28.647739461167326,0.0,437.10638236737964,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,100.0,67.71112866231198,0.0,51.8323795131321,0.0,-31.270020553486987,0.0,399.2920531995905,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,102.5,76.14183281481512,0.0,0.2722723227204712,0.0,-34.918401966797084,0.0,351.8777670199309,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,105.0,85.94387630582374,0.0,-43.1322170714019,0.0,-39.52870673156875,0.0,294.2454530036755,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,107.5,96.75011796239566,0.0,-77.49881364676214,0.0,-44.94121295545211,0.0,226.3368937619845,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,110.0,108.02503864028164,0.0,-101.72161866553702,0.0,-50.86687391801363,0.0,149.02203634238936,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,112.5,119.05768978974548,0.0,-114.5490733150868,0.0,-56.85657006739579,0.0,64.48476506537143,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,115.0,128.98430181680658,0.0,-114.73970385012852,0.0,-62.28342839289619,0.0,-23.450046632196482,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,117.49999999999999,136.85030836061435,0.0,-101.30222658814736,0.0,-66.35157466147062,0.0,-109.15691019396817,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,119.99999999999999,141.7163582502598,0.0,-73.81605291617113,0.0,-68.14604024915303,0.0,-185.34830752997183,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,122.50000000000001,142.80315726786168,0.0,-32.810384773433455,0.0,-66.73583975644043,0.0,-243.6386466643034,0.0
360.0,180.0,1.0,24.0,16.0,22.0,4.0,5.0,0.8,0.5,160.0,3.55,2.5,125.00000000000001,139.6562875588259,0.0,19.84557345992937,0.0,-61.33347478116685,0.0,-275.6144375800213,0.0
